title,link,summary,source_title,source_href
"Asia Markets Mixed, Europe Up, Crude Oil Trades At $77 - Global Markets Today While US Was Sleeping - Yahoo Finance",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hc2lhLW1hcmtldHMtbWl4ZWQtZXVyb3BlLWNydWRlLTE0MDI0MTI1MC5odG1s0gFVaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvYXNpYS1tYXJrZXRzLW1peGVkLWV1cm9wZS1jcnVkZS0xNDAyNDEyNTAuaHRtbA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hc2lhLW1hcmtldHMtbWl4ZWQtZXVyb3BlLWNydWRlLTE0MDI0MTI1MC5odG1s0gFVaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvYXNpYS1tYXJrZXRzLW1peGVkLWV1cm9wZS1jcnVkZS0xNDAyNDEyNTAuaHRtbA?oc=5"" target=""_blank"">Asia Markets Mixed, Europe Up, Crude Oil Trades At $77 - Global Markets Today While US Was Sleeping</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://finance.yahoo.com
Capital Link's McGonegal On Global Markets Strategy - Bloomberg,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy92aWRlb3MvMjAyMy0xMS0xMy9jYXBpdGFsLWxpbmstcy1tY2dvbmVnYWwtb24tZ2xvYmFsLW1hcmtldHMtc3RyYXRlZ3ktdmlkZW_SAQA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy92aWRlb3MvMjAyMy0xMS0xMy9jYXBpdGFsLWxpbmstcy1tY2dvbmVnYWwtb24tZ2xvYmFsLW1hcmtldHMtc3RyYXRlZ3ktdmlkZW_SAQA?oc=5"" target=""_blank"">Capital Link's McGonegal On Global Markets Strategy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>",Bloomberg,https://www.bloomberg.com
"GLOBAL MARKETS-Stocks gain, bonds calm as Fed outlook trumps Moody's downgrade - Yahoo Finance",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MtZ2Fpbi1ib25kcy0wMTU1MjI5NjMuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2dsb2JhbC1tYXJrZXRzLXN0b2Nrcy1nYWluLWJvbmRzLTAxNTUyMjk2My5odG1s?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MtZ2Fpbi1ib25kcy0wMTU1MjI5NjMuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2dsb2JhbC1tYXJrZXRzLXN0b2Nrcy1nYWluLWJvbmRzLTAxNTUyMjk2My5odG1s?oc=5"" target=""_blank"">GLOBAL MARKETS-Stocks gain, bonds calm as Fed outlook trumps Moody's downgrade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://finance.yahoo.com
"GLOBAL MARKETS-Stocks rally, dollar eases as Wall Street shrugs off Powell - Yahoo Finance",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MtcmFsbHktZG9sbGFyLTIxNDM0OTQzMC5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZ2xvYmFsLW1hcmtldHMtc3RvY2tzLXJhbGx5LWRvbGxhci0yMTQzNDk0MzAuaHRtbA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MtcmFsbHktZG9sbGFyLTIxNDM0OTQzMC5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZ2xvYmFsLW1hcmtldHMtc3RvY2tzLXJhbGx5LWRvbGxhci0yMTQzNDk0MzAuaHRtbA?oc=5"" target=""_blank"">GLOBAL MARKETS-Stocks rally, dollar eases as Wall Street shrugs off Powell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://finance.yahoo.com
"GLOBAL MARKETS-Stocks, yields fall as Fed's Powell quells rate peak bets - Yahoo Finance",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MteWllbGRzLWZhbGwtMTYzNTI3NTg2Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MteWllbGRzLWZhbGwtMTYzNTI3NTg2Lmh0bWw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MteWllbGRzLWZhbGwtMTYzNTI3NTg2Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9nbG9iYWwtbWFya2V0cy1zdG9ja3MteWllbGRzLWZhbGwtMTYzNTI3NTg2Lmh0bWw?oc=5"" target=""_blank"">GLOBAL MARKETS-Stocks, yields fall as Fed's Powell quells rate peak bets</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://finance.yahoo.com
GLOBAL MARKETS-European stocks climb as yen slumps to one-year low - Yahoo Finance,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1ldXJvcGVhbi1zdG9ja3MtY2xpbWItMTAxMzMyMjk0Lmh0bWzSAVpodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9nbG9iYWwtbWFya2V0cy1ldXJvcGVhbi1zdG9ja3MtY2xpbWItMTAxMzMyMjk0Lmh0bWw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtbWFya2V0cy1ldXJvcGVhbi1zdG9ja3MtY2xpbWItMTAxMzMyMjk0Lmh0bWzSAVpodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9nbG9iYWwtbWFya2V0cy1ldXJvcGVhbi1zdG9ja3MtY2xpbWItMTAxMzMyMjk0Lmh0bWw?oc=5"" target=""_blank"">GLOBAL MARKETS-European stocks climb as yen slumps to one-year low</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Yahoo Finance,https://finance.yahoo.com
"Dollar gains, global shares pare losses as Fed speakers talk policy - Reuters.com",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZ2xvYmFsLW1hcmtldHMtd3JhcHVwLTEtMjAyMy0xMS0wNy_SAQA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZ2xvYmFsLW1hcmtldHMtd3JhcHVwLTEtMjAyMy0xMS0wNy_SAQA?oc=5"" target=""_blank"">Dollar gains, global shares pare losses as Fed speakers talk policy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters.com</font>",Reuters.com,https://www.reuters.com
"The escalating Israel-Hamas conflict raises risks of global market contagion, economist says - CNBC",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTAvMzAvaXNyYWVsLWhhbWFzLXdhci1wb3Nlcy1yaXNrLW9mLWdsb2JhbC1tYXJrZXQtY29udGFnaW9uLWVjb25vbWlzdC1zYXlzLmh0bWzSAW5odHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMy8xMC8zMC9pc3JhZWwtaGFtYXMtd2FyLXBvc2VzLXJpc2stb2YtZ2xvYmFsLW1hcmtldC1jb250YWdpb24tZWNvbm9taXN0LXNheXMuaHRtbA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTAvMzAvaXNyYWVsLWhhbWFzLXdhci1wb3Nlcy1yaXNrLW9mLWdsb2JhbC1tYXJrZXQtY29udGFnaW9uLWVjb25vbWlzdC1zYXlzLmh0bWzSAW5odHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMy8xMC8zMC9pc3JhZWwtaGFtYXMtd2FyLXBvc2VzLXJpc2stb2YtZ2xvYmFsLW1hcmtldC1jb250YWdpb24tZWNvbm9taXN0LXNheXMuaHRtbA?oc=5"" target=""_blank"">The escalating Israel-Hamas conflict raises risks of global market contagion, economist says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",CNBC,https://www.cnbc.com
The $109 Trillion Global Stock Market in One Chart - Visual Capitalist,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LnZpc3VhbGNhcGl0YWxpc3QuY29tL3RoZS0xMDktdHJpbGxpb24tZ2xvYmFsLXN0b2NrLW1hcmtldC1pbi1vbmUtY2hhcnQv0gEA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LnZpc3VhbGNhcGl0YWxpc3QuY29tL3RoZS0xMDktdHJpbGxpb24tZ2xvYmFsLXN0b2NrLW1hcmtldC1pbi1vbmUtY2hhcnQv0gEA?oc=5"" target=""_blank"">The $109 Trillion Global Stock Market in One Chart</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Visual Capitalist</font>",Visual Capitalist,https://www.visualcapitalist.com
Shift In U.S. Policy On Iran Oil Could Swing Global Markets - OilPrice.com,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vb2lscHJpY2UuY29tL0VuZXJneS9DcnVkZS1PaWwvU2hpZnQtSW4tVVMtUG9saWN5LU9uLUlyYW4tT2lsLUNvdWxkLVN3aW5nLUdsb2JhbC1NYXJrZXRzLmh0bWzSAWhodHRwczovL29pbHByaWNlLmNvbS9FbmVyZ3kvQ3J1ZGUtT2lsL1NoaWZ0LUluLVVTLVBvbGljeS1Pbi1JcmFuLU9pbC1Db3VsZC1Td2luZy1HbG9iYWwtTWFya2V0cy5hbXAuaHRtbA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vb2lscHJpY2UuY29tL0VuZXJneS9DcnVkZS1PaWwvU2hpZnQtSW4tVVMtUG9saWN5LU9uLUlyYW4tT2lsLUNvdWxkLVN3aW5nLUdsb2JhbC1NYXJrZXRzLmh0bWzSAWhodHRwczovL29pbHByaWNlLmNvbS9FbmVyZ3kvQ3J1ZGUtT2lsL1NoaWZ0LUluLVVTLVBvbGljeS1Pbi1JcmFuLU9pbC1Db3VsZC1Td2luZy1HbG9iYWwtTWFya2V0cy5hbXAuaHRtbA?oc=5"" target=""_blank"">Shift In U.S. Policy On Iran Oil Could Swing Global Markets</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OilPrice.com</font>",OilPrice.com,https://oilprice.com
