place,description,address,website,reviews
Voodoo Doughnut - Old Town,"['Funky, 24-hour donut spot', 'This counter-serve bakeshop serves creative donuts in colorful, quirky environs.']","22 SW 3rd Ave, Portland, OR 97204, United States",https://www.voodoodoughnut.com/,https://search.google.com/local/reviews?placeid=ChIJ70AxJAcKlVQRde9D82gpfSU&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Doe Donuts,"['All-vegan setup for handmade donuts', 'Small, wood-lined shop offering handcrafted vegan donuts in classic & creative flavors.']","4110 NE Sandy Blvd, Portland, OR 97212, United States",http://www.doedonuts.com/,https://search.google.com/local/reviews?placeid=ChIJ64SNs0mglVQRb4Ps4aDLbJI&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Blue Star Donuts,"['Buzzy source for gourmet donuts', 'Upmarket brioche-donut bakery featuring creative flavors & organic, locally sourced ingredients.']","1701 SW Jefferson St, Portland, OR 97201, United States",https://www.bluestardonuts.com/,https://search.google.com/local/reviews?placeid=ChIJt2UBGQMKlVQRMc4LysQr4lk&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Heavenly Donuts,,"1915 N Lombard St, Portland, OR 97217, United States",https://www.heavenlydonut.com/,https://search.google.com/local/reviews?placeid=ChIJswo6TaWnlVQRxCvBQPf8QWU&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Heavenly Donuts Bakery,,"Parking lot, 504 NE 102nd Ave, Portland, OR 97220, United States",http://www.heavenlydonut.com/,https://search.google.com/local/reviews?placeid=ChIJhwK6M3ShlVQRdhqxMUJ9Wmg&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Voodoo Doughnut - Davis,"['Funky, 24-hour donut spot', 'This counter-serve bakeshop serves creative donuts in colorful, quirky environs.']","1501 NE Davis St, Portland, OR 97232, United States",https://www.voodoodoughnut.com/,https://search.google.com/local/reviews?placeid=ChIJh4vEk7qglVQRqwnZu1fz42U&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Sesame Donuts,"['Donuts, coffee & specialty sweets', 'Outpost of a local chain bakery selling classic & specialty donuts, pastries & coffee.']","1503 SW Park Ave suite B, Portland, OR 97201, United States",https://www.ordersesamedonuts.com/,https://search.google.com/local/reviews?placeid=ChIJnS0WpRAKlVQREAmKVhe9Faw&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Angel's Donuts & Ice Cream,"['Counter-serve spot for sweets & treats', 'Old-school bakeshop dispensing ice cream & housemade donuts & fritters in a counter-serve setting.']","2805 NE Alberta St, Portland, OR 97211, United States",https://m.facebook.com/pages/category/Restaurant/Angels-Donuts-and-Ice-Cream-Portland-243756609670332/,https://search.google.com/local/reviews?placeid=ChIJaXw5Xt6mlVQRfKqEG5_Ls20&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Sesame Donuts,"['Donuts, coffee & specialty sweets', 'Outpost of a local chain bakery selling classic & specialty donuts, pastries & coffee.']","6990 SW Beaverton Hillsdale Hwy, Portland, OR 97225, United States",http://sesamedonuts.com/,https://search.google.com/local/reviews?placeid=ChIJ___rfu0LlVQRGwReYVS9ET8&q=donuts+in+portland&authuser=0&hl=en&gl=AU
Sesame Donuts,"['Donuts, coffee & specialty sweets', 'Outpost of a local chain bakery selling classic & specialty donuts, pastries & coffee.']","4102 SE Powell Blvd, Portland, OR 97202, United States",http://sesamedonuts.com/,https://search.google.com/local/reviews?placeid=ChIJzcJW0JWhlVQR3lvuk9EVZRM&q=donuts+in+portland&authuser=0&hl=en&gl=AU
